reward,step_time,total_stopped,total_wait_time
56.0,3115.0,5,721.0
152.0,3120.0,5,698.0
23.0,3125.0,8,728.0
-30.0,3130.0,10,676.0
52.0,3135.0,6,519.0
157.0,3140.0,7,290.0
229.0,3145.0,3,293.0
-3.0,3150.0,7,312.0
-19.0,3155.0,6,256.0
56.0,3160.0,5,79.0
177.0,3165.0,2,78.0
1.0,3170.0,6,92.0
-14.0,3175.0,13,142.0
-50.0,3180.0,13,176.0
-34.0,3185.0,13,147.0
29.0,3190.0,12,145.0
2.0,3195.0,7,177.0
-32.0,3200.0,8,205.0
-28.0,3205.0,10,217.0
-12.0,3210.0,6,175.0
42.0,3215.0,6,145.0
30.0,3220.0,3,144.0
1.0,3225.0,8,166.0
-22.0,3230.0,13,223.0
-57.0,3235.0,20,311.0
-88.0,3240.0,26,431.0
-120.0,3245.0,22,484.0
-53.0,3250.0,15,441.0
43.0,3255.0,10,464.0
-23.0,3260.0,8,509.0
-45.0,3265.0,15,567.0
-58.0,3270.0,20,657.0
-90.0,3275.0,28,779.0
-122.0,3280.0,34,935.0
-156.0,3285.0,32,994.0
-59.0,3290.0,24,911.0
83.0,3295.0,17,737.0
174.0,3300.0,8,778.0
-41.0,3305.0,7,799.0
-21.0,3310.0,12,851.0
-52.0,3315.0,20,935.0
-84.0,3320.0,25,1047.0
-112.0,3325.0,26,1052.0
-5.0,3330.0,21,917.0
135.0,3335.0,16,682.0
235.0,3340.0,6,716.0
-34.0,3345.0,9,745.0
-29.0,3350.0,10,689.0
56.0,3355.0,5,533.0
156.0,3360.0,5,504.0
29.0,3365.0,7,530.0
-26.0,3370.0,14,585.0
-55.0,3375.0,15,543.0
42.0,3380.0,11,362.0
181.0,3385.0,10,415.0
-53.0,3390.0,12,475.0
-60.0,3395.0,10,429.0
46.0,3400.0,7,297.0
132.0,3405.0,4,282.0
15.0,3410.0,7,311.0
-29.0,3415.0,8,281.0
30.0,3420.0,6,201.0
80.0,3425.0,2,118.0
83.0,3430.0,2,116.0
2.0,3435.0,6,136.0
-20.0,3440.0,8,134.0
2.0,3445.0,6,104.0
30.0,3450.0,3,57.0
47.0,3455.0,2,43.0
14.0,3460.0,8,69.0
-26.0,3465.0,8,89.0
-20.0,3470.0,4,69.0
20.0,3475.0,4,47.0
22.0,3480.0,2,46.0
1.0,3485.0,7,68.0
-22.0,3490.0,13,121.0
-53.0,3495.0,14,158.0
-37.0,3500.0,15,172.0
-14.0,3505.0,12,196.0
-24.0,3510.0,12,247.0
-51.0,3515.0,6,252.0
-5.0,3520.0,3,207.0
45.0,3525.0,5,210.0
-3.0,3530.0,8,242.0
-32.0,3535.0,9,247.0
-5.0,3540.0,7,209.0
38.0,3545.0,4,220.0
-11.0,3550.0,11,259.0
-39.0,3555.0,10,256.0
3.0,3560.0,9,204.0
52.0,3565.0,8,239.0
-35.0,3570.0,13,294.0
-55.0,3575.0,9,289.0
5.0,3580.0,6,221.0
68.0,3585.0,7,207.0
14.0,3590.0,8,241.0
-34.0,3595.0,6,221.0
20.0,3600.0,3,166.0
55.0,3605.0,3,165.0
1.0,3610.0,8,196.0
-31.0,3615.0,7,194.0
2.0,3620.0,4,151.0
43.0,3625.0,4,83.0
68.0,3630.0,2,79.0
4.0,3635.0,7,103.0
-24.0,3640.0,8,109.0
-6.0,3645.0,6,85.0
24.0,3650.0,2,55.0
30.0,3655.0,3,51.0
4.0,3660.0,7,76.0
-25.0,3665.0,7,86.0
-10.0,3670.0,4,65.0
21.0,3675.0,6,89.0
-24.0,3680.0,11,129.0
-40.0,3685.0,15,195.0
-66.0,3690.0,22,288.0
-93.0,3695.0,29,419.0
-131.0,3700.0,29,503.0
-84.0,3705.0,23,519.0
-16.0,3710.0,16,460.0
59.0,3715.0,7,494.0
-34.0,3720.0,8,528.0
-34.0,3725.0,8,508.0
20.0,3730.0,5,427.0
81.0,3735.0,6,302.0
