,buffer_size,step_time,total_stopped,total_wait_time
637,1144,3490.0,164,11528.0
638,1145,3495.0,157,11805.0
639,1147,3500.0,159,12179.0
640,1150,3505.0,143,12439.0
641,1152,3510.0,124,12784.0
642,1156,3515.0,152,12934.0
643,1156,3520.0,177,12428.0
644,1156,3525.0,185,12891.0
645,1156,3530.0,179,13448.0
646,1159,3535.0,175,13876.0
647,1161,3540.0,173,13818.0
648,1164,3545.0,157,13933.0
649,1166,3550.0,167,13935.0
650,1167,3555.0,164,14174.0
651,1167,3560.0,161,14210.0
652,1167,3565.0,167,14539.0
653,1169,3570.0,168,14971.0
654,1169,3575.0,157,15260.0
655,1169,3580.0,155,15132.0
656,1169,3585.0,166,15618.0
657,1169,3590.0,178,15654.0
658,1170,3595.0,179,15509.0
659,1173,3600.0,168,15484.0
660,1177,3605.0,147,15324.0
661,1178,3610.0,139,15098.0
662,1181,3615.0,127,14827.0
663,1183,3620.0,118,14681.0
664,1186,3625.0,139,14303.0
665,1188,3630.0,166,13695.0
666,1191,3635.0,194,14006.0
667,1193,3640.0,213,14662.0
668,1196,3645.0,229,15428.0
669,1198,3650.0,229,15976.0
670,1201,3655.0,223,16470.0
671,1201,3660.0,223,17384.0
672,1204,3665.0,223,18365.0
673,1206,3670.0,219,18457.0
674,1209,3675.0,201,17517.0
675,1212,3680.0,192,16500.0
676,1215,3685.0,190,14764.0
677,1217,3690.0,177,15364.0
678,1220,3695.0,182,16289.0
679,1224,3700.0,181,16494.0
680,1227,3705.0,178,15580.0
681,1230,3710.0,173,14456.0
682,1235,3715.0,158,13803.0
683,1239,3720.0,139,13352.0
684,1245,3725.0,143,13821.0
685,1245,3730.0,161,14764.0
686,1248,3735.0,145,14309.0
687,1252,3740.0,126,13749.0
688,1258,3745.0,121,14081.0
689,1260,3750.0,137,13965.0
690,1263,3755.0,149,13720.0
691,1265,3760.0,119,14415.0
692,1268,3765.0,106,14217.0
693,1270,3770.0,81,13616.0
694,1272,3775.0,77,13502.0
695,1273,3780.0,84,13451.0
696,1275,3785.0,103,13144.0
697,1277,3790.0,127,13177.0
698,1280,3795.0,142,13562.0
699,1281,3800.0,155,13824.0
700,1284,3805.0,166,13609.0
701,1285,3810.0,159,13226.0
702,1288,3815.0,138,12783.0
703,1287,3820.0,139,12132.0
704,1287,3825.0,146,12286.0
705,1289,3830.0,138,12538.0
706,1292,3835.0,139,12021.0
707,1293,3840.0,115,11646.0
708,1297,3845.0,101,10992.0
709,1297,3850.0,102,10857.0
710,1303,3855.0,112,10549.0
711,1309,3860.0,111,10508.0
712,1312,3865.0,105,9630.0
713,1314,3870.0,98,9357.0
714,1315,3875.0,90,9501.0
715,1315,3880.0,98,9663.0
716,1316,3885.0,90,9332.0
717,1318,3890.0,84,8762.0
718,1319,3895.0,80,8109.0
719,1318,3900.0,59,7612.0
720,1318,3905.0,67,7233.0
721,1318,3910.0,64,6685.0
722,1318,3915.0,59,6513.0
723,1318,3920.0,68,6563.0
724,1318,3925.0,67,6672.0
725,1318,3930.0,87,6619.0
726,1318,3935.0,103,6298.0
727,1318,3940.0,102,6020.0
728,1318,3945.0,95,5486.0
729,1318,3950.0,90,5309.0
730,1318,3955.0,92,5380.0
731,1318,3960.0,101,5402.0
732,1318,3965.0,105,5482.0
733,1318,3970.0,92,5814.0
734,1318,3975.0,113,6051.0
735,1318,3980.0,134,6236.0
736,1318,3985.0,133,6419.0
737,1318,3990.0,123,6769.0
738,1318,3995.0,121,6922.0
739,1318,4000.0,127,6657.0
740,1318,4005.0,138,6741.0
741,1320,4010.0,135,6646.0
742,1320,4015.0,112,6914.0
743,1320,4020.0,91,6766.0
744,1321,4025.0,95,6541.0
745,1323,4030.0,105,6926.0
746,1326,4035.0,112,7153.0
747,1326,4040.0,115,7489.0
748,1326,4045.0,105,7243.0
749,1326,4050.0,100,7468.0
750,1329,4055.0,71,7321.0
751,1328,4060.0,74,7189.0
752,1328,4065.0,87,6978.0
753,1328,4070.0,95,6651.0
754,1328,4075.0,100,6397.0
755,1329,4080.0,97,6272.0
756,1329,4085.0,75,6200.0
757,1329,4090.0,101,6146.0
758,1329,4095.0,123,6052.0
759,1329,4100.0,113,6190.0
760,1330,4105.0,99,6539.0
761,1330,4110.0,94,6621.0
762,1330,4115.0,76,6220.0
763,1330,4120.0,95,6043.0
764,1330,4125.0,102,5931.0
765,1330,4130.0,95,6051.0
766,1331,4135.0,96,6307.0
767,1331,4140.0,100,6471.0
768,1332,4145.0,108,6618.0
769,1334,4150.0,95,6721.0
770,1337,4155.0,86,6636.0
771,1339,4160.0,94,6840.0
772,1342,4165.0,134,7293.0
773,1342,4170.0,175,7829.0
774,1342,4175.0,163,8400.0
775,1342,4180.0,131,8649.0
776,1343,4185.0,120,8603.0
777,1345,4190.0,111,8363.0
778,1348,4195.0,124,8187.0
779,1351,4200.0,117,8218.0
780,1354,4205.0,113,8512.0
781,1356,4210.0,130,8852.0
782,1360,4215.0,141,9070.0
783,1362,4220.0,138,9088.0
784,1365,4225.0,151,9240.0
785,1367,4230.0,138,9562.0
786,1370,4235.0,119,9697.0
787,1373,4240.0,125,10124.0
788,1376,4245.0,112,10257.0
789,1376,4250.0,104,10621.0
790,1381,4255.0,98,11035.0
791,1383,4260.0,101,10759.0
792,1386,4265.0,101,10478.0
793,1388,4270.0,95,10722.0
794,1389,4275.0,104,10667.0
